Designator,Footprint,Quantity,Value,LCSC Part #
BT101,BatteryHolder_Keystone_2460_1xAA,1,Keystone 2460,
C105,0805,1,100nF,
"C107, C108",CP_Elec_6.3x5.8,2,100µF/16V,
D101,D_SOD-123,1,BAV16W,
D103,LPB200XX,1,"LB-P200B2C-H, blue",
D104,LPB200XX,1,"LB-P200G3C-H, green",
IC101,SSOP-8_3.9x5.05mm_P1.27mm,1,PIC16LF15313,
J101,SKEDD-6,1,SKEDD6,
"Q100, Q101",SOT-89-3_Handsoldering,2,BST-52,
"R101, R106",0805,2,10K,
"R102, R109, R110",0805,3,1K,
"R103, R107",1206,2,"2,2",
"R104, R108",0805,2,100K,
SW101,Meder MK15-C-2,1,MK15-C2,
"TP101, TP102, TP103, TP104, TP106",TestPoint_Pad_D1.5mm,5,TestPoint,
